RacerID,Course,RacesRun,QuinellaRate,TrifectaRate,FirstPlaceRate,AvgStartTiming,Nige,Makuri,Sashi
3005,5,710,25.3,43.2,9.3,0.19,0,19,7
3005,6,353,13.8,28.9,3.1,0.22,0,3,2
3006,1,866,49.3,64.7,29.2,0.19,227,1,3
3006,2,1093,31.3,50.0,14.2,0.21,0,79,58
3006,3,1106,29.2,46.1,13.0,0.21,0,81,34
3006,4,871,22.6,38.4,12.0,0.21,0,62,19
3006,5,612,13.2,25.4,5.5,0.23,0,19,4
3006,6,322,5.9,14.6,1.8,0.26,0,1,0
3010,1,2146,72.3,82.4,55.5,0.16,1123,0,5
3010,2,1579,43.0,59.5,20.8,0.17,0,165,130
3010,3,479,32.9,49.9,15.4,0.17,0,34,12
3010,4,145,22.7,44.1,11.7,0.18,0,9,2
3010,5,56,26.7,48.2,5.3,0.2,0,1,0
3010,6,53,18.8,37.7,1.8,0.2,0,0,0
3020,1,1100,50.0,65.4,32.0,0.22,331,0,1
3020,2,1269,37.6,58.6,16.6,0.22,0,100,88
3020,3,1071,32.4,52.7,12.8,0.22,0,79,21
3020,4,977,30.5,49.8,12.7,0.21,0,81,24
3020,5,632,26.1,47.3,8.2,0.23,0,21,16
3020,6,287,16.3,34.4,3.8,0.26,0,3,3
3022,1,1441,74.8,85.5,51.7,0.16,696,2,1
3022,2,1369,58.0,76.1,24.6,0.18,0,83,225
3022,3,1301,44.9,66.1,18.9,0.17,0,89,52
3022,4,1318,41.2,67.8,16.3,0.19,0,72,56
3022,5,1026,29.5,54.3,9.4,0.2,0,17,15
3022,6,478,18.8,41.2,4.1,0.18,0,5,5
3024,1,2716,70.3,81.1,51.6,0.17,1289,0,0
3024,2,2961,47.6,64.3,21.4,0.18,0,221,329
3024,3,554,38.2,57.2,20.0,0.19,0,49,17
3024,4,164,38.4,53.0,15.2,0.19,0,13,4
3024,5,82,28.0,43.9,10.9,0.21,0,2,2
3024,6,60,30.0,41.6,8.3,0.21,0,0,1
3025,1,1055,58.2,74.0,33.1,0.21,308,0,0
3025,2,1195,45.8,67.4,18.4,0.21,1,45,134
3025,3,1111,31.0,51.9,11.2,0.22,0,36,34
3025,4,956,30.3,51.6,11.8,0.22,0,29,29
3025,5,632,17.5,36.3,5.0,0.22,0,9,4
3025,6,339,8.8,26.5,2.6,0.25,0,0,1
3036,1,1031,58.8,73.5,35.8,0.19,325,0,0
3036,2,1113,41.6,59.4,17.9,0.19,0,61,109
3036,3,1120,36.5,56.2,16.5,0.18,0,68,35
3036,4,1145,32.5,52.6,14.6,0.17,0,87,30
3036,5,849,22.7,41.1,9.3,0.17,0,27,9
3036,6,513,12.4,26.9,4.2,0.2,0,6,4
3044,1,903,64.3,79.5,38.2,0.18,303,0,2
3044,2,938,46.3,65.7,21.1,0.18,0,47,126
3044,3,946,34.0,55.9,15.2,0.18,0,38,54
3044,4,990,36.4,57.3,14.3,0.17,0,31,37
3044,5,967,23.1,46.4,6.3,0.18,0,13,20
3044,6,640,13.2,31.5,2.3,0.19,0,0,2
3051,1,845,58.2,71.7,36.9,0.16,267,0,0
3051,2,862,38.0,55.5,16.3,0.2,0,60,58
3051,3,1001,33.6,52.2,17.0,0.19,0,73,23
3051,4,920,31.9,50.4,15.2,0.18,0,52,22
3051,5,846,22.4,42.7,10.1,0.19,0,20,5
3051,6,904,17.0,34.6,4.9,0.19,0,4,7
3052,1,1343,45.7,62.9,22.7,0.18,278,0,3
3052,2,1215,31.1,51.1,12.5,0.21,0,70,66
3052,3,890,21.6,42.9,8.2,0.21,0,51,10
3052,4,709,22.9,43.7,10.8,0.21,0,54,7
3052,5,486,11.5,29.6,2.4,0.23,0,7,2
3052,6,306,6.2,21.2,0.6,0.26,0,0,1
3054,1,1198,78.3,85.8,60.4,0.16,694,0,0
3054,2,1119,54.1,71.3,25.8,0.15,0,130,134
3054,3,1164,48.7,64.8,25.8,0.15,0,171,46
3054,4,1283,44.6,63.1,23.3,0.16,0,155,40
3054,5,938,27.7,45.1,11.5,0.16,0,34,20
3054,6,587,12.1,27.0,3.0,0.19,0,4,4
3058,1,968,60.7,74.9,36.4,0.18,322,0,0
3058,2,1487,40.6,57.7,18.2,0.19,0,65,171
3058,3,1057,28.0,46.6,10.6,0.19,0,39,25
